Date,Country,State/Province,Confirmed,Deaths,Recovered,Active,Tests Conducted,Year,Month,PositivityRate,CFR
2020-03-01,India,Maharashtra,912,1,759,152,6418,2020,2020-03,0.1421003427859146,0.0010964912280701754
2020-03-01,India,Kerala,2006,28,285,1693,4685,2020,2020-03,0.42817502668089646,0.013958125623130608
2020-03-01,India,Delhi,4467,22,3456,989,5987,2020,2020-03,0.7461165859361951,0.004925005596597269
2020-03-01,USA,New York,244,1,55,188,5055,2020,2020-03,0.048269040553907024,0.004098360655737705
2020-03-01,USA,California,4139,154,108,3877,8396,2020,2020-03,0.4929728442115293,0.037207054844165255
2020-03-01,USA,Texas,4464,107,1805,2552,12823,2020,2020-03,0.3481244638540123,0.023969534050179212
2020-03-01,Brazil,São Paulo,4827,71,53,4703,8442,2020,2020-03,0.5717839374555792,0.014708928941371453
2020-03-01,Brazil,Rio de Janeiro,3462,87,1138,2237,7009,2020,2020-03,0.49393636752746467,0.02512998266897747
2020-03-01,Brazil,Bahia,1763,43,209,1511,4282,2020,2020-03,0.41172349369453526,0.024390243902439025
2020-03-01,Italy,Lombardy,3112,24,1470,1618,9747,2020,2020-03,0.31927772647994257,0.007712082262210797
2020-03-01,Italy,Lazio,4945,67,355,4523,13472,2020,2020-03,0.36705760095011875,0.013549039433771486
2020-03-01,Italy,Veneto,4392,31,3100,1261,6683,2020,2020-03,0.6571898847822834,0.007058287795992714
2020-03-01,South Africa,Gauteng,4522,75,2962,1485,8672,2020,2020-03,0.5214483394833949,0.016585581601061477
2020-03-01,South Africa,KwaZulu-Natal,569,1,233,335,6310,2020,2020-03,0.0901743264659271,0.0017574692442882249
2020-03-01,South Africa,Western Cape,653,14,103,536,7880,2020,2020-03,0.08286802030456852,0.021439509954058193
2020-03-02,India,Maharashtra,2277,58,1494,725,5941,2020,2020-03,0.3832688099646524,0.025472112428634168
2020-03-02,India,Kerala,3032,90,858,2084,8406,2020,2020-03,0.36069474185105876,0.029683377308707123
2020-03-02,India,Delhi,584,19,175,390,10335,2020,2020-03,0.05650701499758103,0.032534246575342464
2020-03-02,USA,New York,2005,20,946,1039,9221,2020,2020-03,0.21743845569894804,0.00997506234413965
2020-03-02,USA,California,2211,81,899,1231,8524,2020,2020-03,0.25938526513374005,0.036635006784260515
2020-03-02,USA,Texas,458,7,420,31,1983,2020,2020-03,0.23096318709026728,0.015283842794759825
2020-03-02,Brazil,São Paulo,2584,102,1096,1386,4668,2020,2020-03,0.5535561268209083,0.039473684210526314
2020-03-02,Brazil,Rio de Janeiro,1728,72,1470,186,7883,2020,2020-03,0.21920588608397817,0.041666666666666664
2020-03-02,Brazil,Bahia,1741,83,1022,636,9223,2020,2020-03,0.18876721240377317,0.04767375071797817
2020-03-02,Italy,Lombardy,3758,36,1084,2638,7045,2020,2020-03,0.5334279630943932,0.009579563597658328
2020-03-02,Italy,Lazio,2020,95,1149,776,11850,2020,2020-03,0.17046413502109706,0.04702970297029703
2020-03-02,Italy,Veneto,2152,95,1754,303,9695,2020,2020-03,0.2219700876740588,0.04414498141263941
2020-03-02,South Africa,Gauteng,2965,56,566,2343,12313,2020,2020-03,0.24080240396329083,0.01888701517706577
2020-03-02,South Africa,KwaZulu-Natal,4042,23,3095,924,5813,2020,2020-03,0.6953380354378118,0.005690252350321623
2020-03-02,South Africa,Western Cape,898,9,642,247,4519,2020,2020-03,0.19871653020579774,0.01002227171492205
2020-03-03,India,Maharashtra,3458,152,260,3046,10762,2020,2020-03,0.3213157405686675,0.04395604395604396
2020-03-03,India,Kerala,3126,152,1917,1057,12795,2020,2020-03,0.24431418522860493,0.04862444017914268
2020-03-03,India,Delhi,2059,70,1762,227,3247,2020,2020-03,0.6341238065906991,0.033997085964060224
2020-03-03,USA,New York,938,43,549,346,6309,2020,2020-03,0.1486764938976066,0.04584221748400853
2020-03-03,USA,California,2786,28,1202,1556,10909,2020,2020-03,0.2553854615455129,0.010050251256281407
2020-03-03,USA,Texas,1295,58,6,1231,6610,2020,2020-03,0.19591527987897125,0.044787644787644784
2020-03-03,Brazil,São Paulo,4100,195,731,3174,13417,2020,2020-03,0.30558247000074534,0.0475609756097561
2020-03-03,Brazil,Rio de Janeiro,871,40,305,526,10188,2020,2020-03,0.08549273655280723,0.045924225028702644
2020-03-03,Brazil,Bahia,4988,50,1252,3686,12114,2020,2020-03,0.4117549942215618,0.010024057738572574
2020-03-03,Italy,Lombardy,1323,0,1226,97,7633,2020,2020-03,0.17332634612865191,0.0
2020-03-03,Italy,Lazio,4002,4,458,3540,10949,2020,2020-03,0.3655128322221207,0.0009995002498750624
2020-03-03,Italy,Veneto,2519,30,237,2252,7465,2020,2020-03,0.3374413931681179,0.011909487892020643
2020-03-03,South Africa,Gauteng,4647,20,701,3926,13609,2020,2020-03,0.34146520684840914,0.004303851947493006
2020-03-03,South Africa,KwaZulu-Natal,566,24,128,414,3669,2020,2020-03,0.1542654674298174,0.04240282685512368
2020-03-03,South Africa,Western Cape,3893,140,676,3077,9235,2020,2020-03,0.4215484569572279,0.03596198304649371
2020-03-04,India,Maharashtra,4322,155,3466,701,8792,2020,2020-03,0.4915832575068244,0.035863026376677466
2020-03-04,India,Kerala,4417,193,1647,2577,10524,2020,2020-03,0.41970733561383505,0.04369481548562373
2020-03-04,India,Delhi,3268,95,1794,1379,12747,2020,2020-03,0.25637404879579506,0.029069767441860465
2020-03-04,USA,New York,3698,30,1015,2653,8379,2020,2020-03,0.44134144886024584,0.008112493239588967
2020-03-04,USA,California,524,10,21,493,5294,2020,2020-03,0.09897997733282962,0.019083969465648856
2020-03-04,USA,Texas,4820,56,58,4706,6983,2020,2020-03,0.6902477445224116,0.011618257261410789
2020-03-04,Brazil,São Paulo,482,7,34,441,1996,2020,2020-03,0.24148296593186372,0.014522821576763486
2020-03-04,Brazil,Rio de Janeiro,2706,18,2105,583,7605,2020,2020-03,0.355818540433925,0.0066518847006651885
2020-03-04,Brazil,Bahia,2281,85,1988,208,6791,2020,2020-03,0.33588573111471065,0.037264357737834285
2020-03-04,Italy,Lombardy,4417,33,3872,512,9398,2020,2020-03,0.469993615662907,0.007471134254018565
2020-03-04,Italy,Lazio,3874,104,779,2991,6419,2020,2020-03,0.6035207976320299,0.026845637583892617
2020-03-04,Italy,Veneto,794,27,362,405,8733,2020,2020-03,0.09091950074430322,0.03400503778337532
2020-03-04,South Africa,Gauteng,3367,119,2986,262,5254,2020,2020-03,0.6408450704225352,0.035343035343035345
2020-03-04,South Africa,KwaZulu-Natal,806,3,412,391,7365,2020,2020-03,0.10943652410047522,0.0037220843672456576
2020-03-04,South Africa,Western Cape,895,15,196,684,5011,2020,2020-03,0.17860706445819197,0.01675977653631285
2020-03-05,India,Maharashtra,4393,114,1148,3131,12305,2020,2020-03,0.35700934579439253,0.025950375597541542
2020-03-05,India,Kerala,1503,35,947,521,6595,2020,2020-03,0.22789992418498864,0.023286759813705923
2020-03-05,India,Delhi,617,14,563,40,3221,2020,2020-03,0.19155541757218256,0.022690437601296597
2020-03-05,USA,New York,414,20,276,118,1655,2020,2020-03,0.2501510574018127,0.04830917874396135
2020-03-05,USA,California,764,15,170,579,8422,2020,2020-03,0.09071479458560912,0.01963350785340314
2020-03-05,USA,Texas,3978,123,875,2980,11548,2020,2020-03,0.3444752338067198,0.03092006033182504
2020-03-05,Brazil,São Paulo,480,5,194,281,1515,2020,2020-03,0.31683168316831684,0.010416666666666666
2020-03-05,Brazil,Rio de Janeiro,3198,67,1863,1268,8871,2020,2020-03,0.3605005072708827,0.020950594121325827
2020-03-05,Brazil,Bahia,3465,142,2711,612,12438,2020,2020-03,0.2785817655571635,0.04098124098124098
2020-03-05,Italy,Lombardy,1268,24,607,637,5834,2020,2020-03,0.21734658896126158,0.01892744479495268
2020-03-05,Italy,Lazio,479,18,376,85,10362,2020,2020-03,0.04622659718201119,0.037578288100208766
2020-03-05,Italy,Veneto,499,23,160,316,2435,2020,2020-03,0.20492813141683777,0.04609218436873747
2020-03-05,South Africa,Gauteng,410,18,244,148,9648,2020,2020-03,0.04249585406301824,0.04390243902439024
2020-03-05,South Africa,KwaZulu-Natal,4350,40,465,3845,13670,2020,2020-03,0.3182150694952451,0.009195402298850575
2020-03-05,South Africa,Western Cape,656,11,70,575,2769,2020,2020-03,0.23690863127482845,0.01676829268292683
