Date,Country,State/Province,Confirmed,Deaths,Recovered,Active,Tests Conducted
2020-03-01,India,Maharashtra,912,1,759,152,6418
2020-03-01,India,Kerala,2006,28,285,1693,4685
2020-03-01,India,Delhi,4467,22,3456,989,5987
2020-03-01,USA,New York,244,1,55,188,5055
2020-03-01,USA,California,4139,154,108,3877,8396
2020-03-01,USA,Texas,4464,107,1805,2552,12823
2020-03-01,Brazil,São Paulo,4827,71,53,4703,8442
2020-03-01,Brazil,Rio de Janeiro,3462,87,1138,2237,7009
2020-03-01,Brazil,Bahia,1763,43,209,1511,4282
2020-03-01,Italy,Lombardy,3112,24,1470,1618,9747
2020-03-01,Italy,Lazio,4945,67,355,4523,13472
2020-03-01,Italy,Veneto,4392,31,3100,1261,6683
2020-03-01,South Africa,Gauteng,4522,75,2962,1485,8672
2020-03-01,South Africa,KwaZulu-Natal,569,1,233,335,6310
2020-03-01,South Africa,Western Cape,653,14,103,536,7880
2020-03-02,India,Maharashtra,2277,58,1494,725,5941
2020-03-02,India,Kerala,3032,90,858,2084,8406
2020-03-02,India,Delhi,584,19,175,390,10335
2020-03-02,USA,New York,2005,20,946,1039,9221
2020-03-02,USA,California,2211,81,899,1231,8524
2020-03-02,USA,Texas,458,7,420,31,1983
2020-03-02,Brazil,São Paulo,2584,102,1096,1386,4668
2020-03-02,Brazil,Rio de Janeiro,1728,72,1470,186,7883
2020-03-02,Brazil,Bahia,1741,83,1022,636,9223
2020-03-02,Italy,Lombardy,3758,36,1084,2638,7045
2020-03-02,Italy,Lazio,2020,95,1149,776,11850
2020-03-02,Italy,Veneto,2152,95,1754,303,9695
2020-03-02,South Africa,Gauteng,2965,56,566,2343,12313
2020-03-02,South Africa,KwaZulu-Natal,4042,23,3095,924,5813
2020-03-02,South Africa,Western Cape,898,9,642,247,4519
2020-03-03,India,Maharashtra,3458,152,260,3046,10762
2020-03-03,India,Kerala,3126,152,1917,1057,12795
2020-03-03,India,Delhi,2059,70,1762,227,3247
2020-03-03,USA,New York,938,43,549,346,6309
2020-03-03,USA,California,2786,28,1202,1556,10909
2020-03-03,USA,Texas,1295,58,6,1231,6610
2020-03-03,Brazil,São Paulo,4100,195,731,3174,13417
2020-03-03,Brazil,Rio de Janeiro,871,40,305,526,10188
2020-03-03,Brazil,Bahia,4988,50,1252,3686,12114
2020-03-03,Italy,Lombardy,1323,0,1226,97,7633
2020-03-03,Italy,Lazio,4002,4,458,3540,10949
2020-03-03,Italy,Veneto,2519,30,237,2252,7465
2020-03-03,South Africa,Gauteng,4647,20,701,3926,13609
2020-03-03,South Africa,KwaZulu-Natal,566,24,128,414,3669
2020-03-03,South Africa,Western Cape,3893,140,676,3077,9235
2020-03-04,India,Maharashtra,4322,155,3466,701,8792
2020-03-04,India,Kerala,4417,193,1647,2577,10524
2020-03-04,India,Delhi,3268,95,1794,1379,12747
2020-03-04,USA,New York,3698,30,1015,2653,8379
2020-03-04,USA,California,524,10,21,493,5294
2020-03-04,USA,Texas,4820,56,58,4706,6983
2020-03-04,Brazil,São Paulo,482,7,34,441,1996
2020-03-04,Brazil,Rio de Janeiro,2706,18,2105,583,7605
2020-03-04,Brazil,Bahia,2281,85,1988,208,6791
2020-03-04,Italy,Lombardy,4417,33,3872,512,9398
2020-03-04,Italy,Lazio,3874,104,779,2991,6419
2020-03-04,Italy,Veneto,794,27,362,405,8733
2020-03-04,South Africa,Gauteng,3367,119,2986,262,5254
2020-03-04,South Africa,KwaZulu-Natal,806,3,412,391,7365
2020-03-04,South Africa,Western Cape,895,15,196,684,5011
2020-03-05,India,Maharashtra,4393,114,1148,3131,12305
2020-03-05,India,Kerala,1503,35,947,521,6595
2020-03-05,India,Delhi,617,14,563,40,3221
2020-03-05,USA,New York,414,20,276,118,1655
2020-03-05,USA,California,764,15,170,579,8422
2020-03-05,USA,Texas,3978,123,875,2980,11548
2020-03-05,Brazil,São Paulo,480,5,194,281,1515
2020-03-05,Brazil,Rio de Janeiro,3198,67,1863,1268,8871
2020-03-05,Brazil,Bahia,3465,142,2711,612,12438
2020-03-05,Italy,Lombardy,1268,24,607,637,5834
2020-03-05,Italy,Lazio,479,18,376,85,10362
2020-03-05,Italy,Veneto,499,23,160,316,2435
2020-03-05,South Africa,Gauteng,410,18,244,148,9648
2020-03-05,South Africa,KwaZulu-Natal,4350,40,465,3845,13670
2020-03-05,South Africa,Western Cape,656,11,70,575,2769
2020-03-06,India,Maharashtra,1926,51,245,1630,6959
2020-03-06,India,Kerala,4742,152,325,4265,7085
2020-03-06,India,Delhi,3434,168,2390,876,12999
2020-03-06,USA,New York,2591,66,836,1689,8738
2020-03-06,USA,California,1955,33,810,1112,5099
2020-03-06,USA,Texas,2457,58,1295,1104,4645
2020-03-06,Brazil,São Paulo,76,3,72,1,2714
2020-03-06,Brazil,Rio de Janeiro,600,17,218,365,9888
2020-03-06,Brazil,Bahia,2172,16,1429,727,4299
2020-03-06,Italy,Lombardy,2001,47,583,1371,5585
2020-03-06,Italy,Lazio,3589,139,2881,569,9545
2020-03-06,Italy,Veneto,4333,2,2452,1879,7030
2020-03-06,South Africa,Gauteng,1100,16,236,848,3853
2020-03-06,South Africa,KwaZulu-Natal,4532,39,2231,2262,10148
2020-03-06,South Africa,Western Cape,4954,53,2808,2093,9289
2020-03-07,India,Maharashtra,2162,64,2001,97,7276
2020-03-07,India,Kerala,416,2,324,90,8355
2020-03-07,India,Delhi,2266,5,14,2247,8730
2020-03-07,USA,New York,1071,40,536,495,4718
2020-03-07,USA,California,3619,141,2890,588,11626
2020-03-07,USA,Texas,4594,2,916,3676,6826
2020-03-07,Brazil,São Paulo,1221,34,73,1114,8270
2020-03-07,Brazil,Rio de Janeiro,4771,141,1213,3417,12812
2020-03-07,Brazil,Bahia,1044,2,631,411,8018
2020-03-07,Italy,Lombardy,326,11,107,208,5414
2020-03-07,Italy,Lazio,842,22,798,22,8500
2020-03-07,Italy,Veneto,1266,30,332,904,5166
2020-03-07,South Africa,Gauteng,3377,6,734,2637,9819
2020-03-07,South Africa,KwaZulu-Natal,3372,63,1092,2217,6980
2020-03-07,South Africa,Western Cape,885,24,39,822,9596
2020-03-08,India,Maharashtra,1822,25,1672,125,10363
2020-03-08,India,Kerala,2864,78,932,1854,7516
2020-03-08,India,Delhi,193,3,102,88,6571
2020-03-08,USA,New York,2282,110,284,1888,7855
2020-03-08,USA,California,2876,130,1637,1109,12661
2020-03-08,USA,Texas,2712,7,472,2233,7991
2020-03-08,Brazil,São Paulo,1462,33,78,1351,4238
2020-03-08,Brazil,Rio de Janeiro,4887,111,2831,1945,11026
2020-03-08,Brazil,Bahia,3574,155,2094,1325,6468
2020-03-08,Italy,Lombardy,3155,147,778,2230,8328
2020-03-08,Italy,Lazio,363,13,0,350,9881
2020-03-08,Italy,Veneto,4410,175,1614,2621,11377
2020-03-08,South Africa,Gauteng,3533,17,2720,796,9942
2020-03-08,South Africa,KwaZulu-Natal,2571,31,1230,1310,11879
2020-03-08,South Africa,Western Cape,2533,85,1672,776,8877
2020-03-09,India,Maharashtra,3296,75,2270,951,6381
2020-03-09,India,Kerala,1571,53,1361,157,8782
2020-03-09,India,Delhi,1425,38,831,556,11402
2020-03-09,USA,New York,3,0,2,1,4446
2020-03-09,USA,California,3521,148,2484,889,9800
2020-03-09,USA,Texas,3809,113,1811,1885,8310
2020-03-09,Brazil,São Paulo,4187,121,3251,815,7967
2020-03-09,Brazil,Rio de Janeiro,694,18,527,149,7185
2020-03-09,Brazil,Bahia,765,15,688,62,6850
2020-03-09,Italy,Lombardy,1840,25,301,1514,3240
2020-03-09,Italy,Lazio,378,7,243,128,2571
2020-03-09,Italy,Veneto,3730,106,2579,1045,7915
2020-03-09,South Africa,Gauteng,3145,126,1636,1383,8142
2020-03-09,South Africa,KwaZulu-Natal,1208,41,11,1156,3954
2020-03-09,South Africa,Western Cape,3482,56,720,2706,12968
2020-03-10,India,Maharashtra,3805,12,2283,1510,8887
2020-03-10,India,Kerala,994,29,136,829,9606
2020-03-10,India,Delhi,4351,143,2599,1609,12602
2020-03-10,USA,New York,4135,109,3402,624,14111
2020-03-10,USA,California,3652,40,3046,566,12429
2020-03-10,USA,Texas,3686,66,3079,541,8736
2020-03-10,Brazil,São Paulo,2271,98,2135,38,11210
2020-03-10,Brazil,Rio de Janeiro,1959,35,900,1024,4228
2020-03-10,Brazil,Bahia,2340,30,1112,1198,8842
2020-03-10,Italy,Lombardy,2619,20,566,2033,6090
2020-03-10,Italy,Lazio,1894,49,1421,424,5397
2020-03-10,Italy,Veneto,1752,8,849,895,9430
2020-03-10,South Africa,Gauteng,2710,119,1703,888,4730
2020-03-10,South Africa,KwaZulu-Natal,1694,53,797,844,3014
2020-03-10,South Africa,Western Cape,4716,97,3907,712,5812
2020-03-11,India,Maharashtra,2881,76,1597,1208,10746
2020-03-11,India,Kerala,4409,191,1806,2412,13408
2020-03-11,India,Delhi,1797,34,892,871,10753
2020-03-11,USA,New York,237,6,86,145,7861
2020-03-11,USA,California,1352,59,261,1032,11103
2020-03-11,USA,Texas,220,6,151,63,1664
2020-03-11,Brazil,São Paulo,687,27,138,522,9251
2020-03-11,Brazil,Rio de Janeiro,1488,6,532,950,8699
2020-03-11,Brazil,Bahia,2681,54,1862,765,9036
2020-03-11,Italy,Lombardy,2764,97,1139,1528,10670
2020-03-11,Italy,Lazio,2066,10,1926,130,3383
2020-03-11,Italy,Veneto,4418,13,2866,1539,9091
2020-03-11,South Africa,Gauteng,562,24,41,497,2070
2020-03-11,South Africa,KwaZulu-Natal,2025,25,1718,282,3358
2020-03-11,South Africa,Western Cape,1248,15,258,975,10006
2020-03-12,India,Maharashtra,937,36,223,678,9556
2020-03-12,India,Kerala,2099,98,755,1246,5848
2020-03-12,India,Delhi,4963,155,938,3870,8646
2020-03-12,USA,New York,2548,27,2370,151,3968
2020-03-12,USA,California,2555,96,1624,835,6804
2020-03-12,USA,Texas,622,15,104,503,6563
2020-03-12,Brazil,São Paulo,4918,206,991,3721,6590
2020-03-12,Brazil,Rio de Janeiro,2844,136,1754,954,9915
2020-03-12,Brazil,Bahia,564,16,349,199,1771
2020-03-12,Italy,Lombardy,3441,125,432,2884,11543
2020-03-12,Italy,Lazio,2967,117,626,2224,11102
2020-03-12,Italy,Veneto,1442,66,1332,44,6867
2020-03-12,South Africa,Gauteng,4408,198,3960,250,13024
2020-03-12,South Africa,KwaZulu-Natal,3568,151,1099,2318,9848
2020-03-12,South Africa,Western Cape,2011,11,571,1429,10396
2020-03-13,India,Maharashtra,1997,96,951,950,9206
2020-03-13,India,Kerala,2755,7,2024,724,9080
2020-03-13,India,Delhi,1489,62,434,993,8302
2020-03-13,USA,New York,2116,43,1145,928,7642
2020-03-13,USA,California,4553,2,4232,319,8683
2020-03-13,USA,Texas,701,15,416,270,9705
2020-03-13,Brazil,São Paulo,4548,194,1968,2386,13348
2020-03-13,Brazil,Rio de Janeiro,4020,114,3247,659,5302
2020-03-13,Brazil,Bahia,762,18,226,518,8387
2020-03-13,Italy,Lombardy,1993,39,1359,595,9039
2020-03-13,Italy,Lazio,3876,141,2174,1561,10508
2020-03-13,Italy,Veneto,3485,140,1354,1991,10249
2020-03-13,South Africa,Gauteng,3717,69,1255,2393,8835
2020-03-13,South Africa,KwaZulu-Natal,1888,15,1477,396,6043
2020-03-13,South Africa,Western Cape,2584,30,2194,360,6617
2020-03-14,India,Maharashtra,1569,27,1512,30,10502
2020-03-14,India,Kerala,2265,92,2148,25,7901
2020-03-14,India,Delhi,823,12,303,508,5550
2020-03-14,USA,New York,2956,45,1238,1673,4187
2020-03-14,USA,California,4375,32,2247,2096,6120
2020-03-14,USA,Texas,446,17,149,280,3514
2020-03-14,Brazil,São Paulo,4021,26,3574,421,5221
2020-03-14,Brazil,Rio de Janeiro,4702,72,3845,785,13545
2020-03-14,Brazil,Bahia,3608,87,755,2766,5449
2020-03-14,Italy,Lombardy,2068,61,233,1774,4138
2020-03-14,Italy,Lazio,3282,125,303,2854,5160
2020-03-14,Italy,Veneto,1242,9,1152,81,7220
2020-03-14,South Africa,Gauteng,697,15,121,561,8515
2020-03-14,South Africa,KwaZulu-Natal,4966,152,1848,2966,14527
2020-03-14,South Africa,Western Cape,3116,115,1813,1188,8987
2020-03-15,India,Maharashtra,4821,109,2501,2211,6807
2020-03-15,India,Kerala,4994,245,812,3937,9398
2020-03-15,India,Delhi,1728,33,1352,343,4058
2020-03-15,USA,New York,1286,30,355,901,3515
2020-03-15,USA,California,1282,0,836,446,9663
2020-03-15,USA,Texas,4864,120,2385,2359,6398
2020-03-15,Brazil,São Paulo,1896,36,1447,413,7528
2020-03-15,Brazil,Rio de Janeiro,3719,18,2815,886,8543
2020-03-15,Brazil,Bahia,2167,100,810,1257,10132
2020-03-15,Italy,Lombardy,940,34,230,676,4381
